Voltage in [V],Amperage in [A],Error on the voltage,Error on the Amperage
0.0064516129032258064,0.0,0.0,0.0
0.008064516129032258,4.39882697947214e-05,0.001612903225806451,4.39882697947214e-05
0.008064516129032258,0.0,0.004838709677419355,0.0
0.008064516129032258,7.331378299120235e-06,0.008064516129032258,7.331378299120235e-06
0.01935483870967742,7.331378299120235e-06,0.003225806451612903,7.331378299120235e-06
0.017741935483870968,0.0,0.004838709677419354,0.0
0.024193548387096774,0.0,0.0016129032258064523,0.0
0.029032258064516127,7.331378299120235e-06,0.003225806451612903,7.331378299120235e-06
0.02903225806451613,7.331378299120235e-06,0.0,7.331378299120235e-06
0.035483870967741936,0.0,0.0,0.0
0.03387096774193549,0.0,0.0016129032258064523,0.0
0.04193548387096774,2.9325513196480935e-05,0.0032258064516129045,1.4662756598240466e-05
0.043548387096774194,1.466275659824047e-05,0.0016129032258064488,1.466275659824047e-05
0.041935483870967745,0.0,0.0,0.0
0.03225806451612903,0.0,0.006451612903225804,0.0
0.06774193548387096,5.131964809384164e-05,0.022580645161290325,2.1994134897360704e-05
0.056451612903225805,0.0,0.0016129032258064557,0.0
0.05967741935483871,0.0,0.004838709677419357,0.0
0.08064516129032258,2.19941348973607e-05,0.019354838709677417,2.19941348973607e-05
0.06290322580645161,1.466275659824047e-05,0.0016129032258064523,1.466275659824047e-05
0.06451612903225806,3.665689149560117e-05,0.006451612903225809,3.665689149560117e-05
0.04516129032258064,0.0,0.022580645161290318,0.0
0.07258064516129031,0.0,0.017741935483870968,0.0
0.0661290322580645,0.0,0.011290322580645159,0.0
0.06774193548387096,3.665689149560117e-05,0.012903225806451615,7.331378299120231e-06
0.08387096774193549,7.331378299120235e-06,0.0,7.331378299120235e-06
0.08387096774193549,0.0,0.0,0.0
0.07903225806451612,7.331378299120235e-06,0.0016129032258064557,7.331378299120235e-06
0.08064516129032258,7.331378299120235e-06,0.0032258064516128976,7.331378299120235e-06
0.08548387096774193,0.0,0.0016129032258064557,0.0
0.1,0.0,9.813077866773595e-18,0.0
0.07580645161290323,0.0,0.02419354838709677,0.0
0.10483870967741934,0.0,0.0016129032258064488,0.0
0.11129032258064514,7.331378299120235e-06,0.0016129032258064488,7.331378299120235e-06
0.1129032258064516,0.00013196480938416422,0.0,0.00013196480938416422
0.1064516129032258,0.0,0.019354838709677413,0.0
0.11935483870967742,7.331378299120235e-06,0.0,7.331378299120235e-06
0.12096774193548387,3.665689149560117e-05,0.0016129032258064488,3.665689149560117e-05
0.12419354838709676,0.0,0.0016129032258064488,0.0
0.12741935483870967,7.331378299120235e-06,0.008064516129032251,7.331378299120235e-06
0.13387096774193546,2.19941348973607e-05,0.0016129032258064557,2.19941348973607e-05
0.14193548387096772,0.0,0.016129032258064516,0.0
0.13064516129032255,0.0,0.004838709677419353,0.0
0.1435483870967742,2.1994134897360704e-05,0.0016129032258064557,7.331378299120235e-06
0.1435483870967742,7.331378299120235e-06,0.0016129032258064557,7.331378299120235e-06
0.1467741935483871,0.0,0.0016129032258064419,0.0
0.15483870967741936,2.19941348973607e-05,0.0032258064516128976,2.19941348973607e-05
0.14516129032258063,7.331378299120235e-06,0.0032258064516128976,7.331378299120235e-06
