Voltage in [V],Amperage in [A],Error on the voltage,Error on the Amperage
0.004838709677419355,0.0,0.0016129032258064516,0.0
0.008064516129032258,0.0,0.001612903225806451,0.0
-0.027419354838709678,0.0,0.024193548387096774,0.0
0.016129032258064516,0.0,0.0064516129032258064,0.0
0.016129032258064516,0.0,2.4532694666933987e-18,0.0
0.014516129032258063,1.466275659824047e-05,0.0016129032258064514,1.466275659824047e-05
0.02258064516129032,7.331378299120235e-06,0.0032258064516129045,7.331378299120235e-06
0.025806451612903226,0.0,0.0032258064516129045,0.0
0.02903225806451613,0.0,0.0,0.0
0.030645161290322583,0.0,0.0016129032258064505,0.0
0.037096774193548385,0.0,0.0016129032258064488,0.0
0.029032258064516127,1.466275659824047e-05,0.009677419354838708,1.466275659824047e-05
0.041935483870967745,0.0,0.0,0.0
0.04516129032258064,7.331378299120235e-06,0.0,7.331378299120235e-06
0.05,2.19941348973607e-05,0.0016129032258064523,2.19941348973607e-05
0.043548387096774194,1.466275659824047e-05,0.0016129032258064523,1.466275659824047e-05
0.05161290322580645,0.0,0.0032258064516128976,0.0
0.05806451612903226,7.331378299120235e-06,0.0,7.331378299120235e-06
0.058064516129032254,0.0,0.006451612903225809,0.0
0.06451612903225806,0.0,0.0,0.0
0.06290322580645161,0.0,0.0016129032258064523,0.0
0.06935483870967742,2.19941348973607e-05,0.0016129032258064557,2.19941348973607e-05
0.07741935483870968,0.0,0.0032258064516129115,0.0
0.07903225806451612,2.19941348973607e-05,0.0016129032258064557,2.19941348973607e-05
0.07903225806451614,7.331378299120235e-06,0.00483870967741936,7.331378299120235e-06
0.08225806451612903,0.0,0.0016129032258064557,0.0
0.08387096774193548,0.0,0.0032258064516129045,0.0
0.08225806451612902,0.0,0.00483870967741936,0.0
0.08870967741935483,1.466275659824047e-05,0.011290322580645162,1.466275659824047e-05
0.0967741935483871,1.466275659824047e-05,0.0032258064516129045,1.466275659824047e-05
0.09838709677419355,0.0,0.0016129032258064488,0.0
0.1032258064516129,7.331378299120235e-06,0.0,7.331378299120235e-06
0.10483870967741934,0.0,0.0016129032258064488,0.0
0.1096774193548387,0.0,0.0032258064516128976,0.0
0.12258064516129032,0.0,0.019354838709677427,0.0
0.11290322580645161,0.0,0.0032258064516129115,0.0
0.11935483870967742,1.466275659824047e-05,0.0032258064516128976,1.466275659824047e-05
0.11290322580645161,2.19941348973607e-05,0.006451612903225809,2.19941348973607e-05
0.12580645161290321,0.0,0.0,0.0
0.12258064516129032,2.19941348973607e-05,0.0032258064516128976,2.19941348973607e-05
0.13064516129032255,0.0,0.0016129032258064419,0.0
0.13548387096774192,7.331378299120235e-06,0.0,7.331378299120235e-06
0.1032258064516129,0.0,0.029032258064516134,0.0
0.1435483870967742,0.0,0.0016129032258064557,0.0
0.14516129032258063,0.0,0.0032258064516128976,0.0
0.14838709677419354,0.0,0.0,0.0
0.14193548387096772,0.0,0.006451612903225809,0.0
0.15161290322580645,7.331378299120235e-06,1.962615573354719e-17,7.331378299120235e-06
0.16451612903225807,2.932551319648094e-05,0.0032258064516129115,2.932551319648094e-05
0.16129032258064516,0.0,0.0,0.0
0.1403225806451613,0.0,0.01774193548387097,0.0
0.1403225806451613,2.19941348973607e-05,0.027419354838709692,2.19941348973607e-05
0.17096774193548386,1.466275659824047e-05,0.0032258064516128976,1.466275659824047e-05
